Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:13:17:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:17:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:18:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:19:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:20:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:21:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:21:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:22:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:22:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:23:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:24:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:24:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:25:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:25:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:26:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:27:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:27:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:28:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:28:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:29:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:29:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:30:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:30:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:31:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:31:00,0.01,-0.77,0.68,-0.12,0.31,-0.24
2025-02-07,00:13:32:00,0.01,-0.77,0.68,-0.12,0.31,-0.31
2025-02-07,00:13:32:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:33:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:33:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:34:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:34:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:35:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:13:35:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:36:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:36:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:37:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:37:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.06
2025-02-07,00:13:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:39:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:42:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:42:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:43:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:43:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:45:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:45:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:46:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:46:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:47:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:47:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:48:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:49:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:49:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:50:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:50:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:51:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:51:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:52:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:52:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:53:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:53:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:54:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:54:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:55:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:55:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:56:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:56:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:57:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:57:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:58:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:58:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:59:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:59:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:00:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:00:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:01:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:01:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:02:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:02:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:03:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:03:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:04:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:04:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:05:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:05:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:06:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:06:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:07:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:07:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:08:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:08:00,0.01,-0.77,0.68,-0.18,0.37,-0.12
2025-02-07,00:14:09:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:09:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:10:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:10:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:11:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:14:11:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:12:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:12:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:13:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:13:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:14:00,0.01,-0.77,0.68,-0.24,0.37,-0.12
2025-02-07,00:14:14:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:15:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:15:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:16:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:16:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:17:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:17:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:19:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:19:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:21:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:21:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:22:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:24:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:24:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:25:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:25:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:27:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:27:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:28:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:28:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:29:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:29:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:30:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:30:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:31:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:31:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:32:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:32:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:33:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:33:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:34:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:34:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:35:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:14:35:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:36:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:36:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:37:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:37:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:38:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:40:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:41:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:42:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:42:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:43:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:43:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:44:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:45:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:45:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:46:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:46:00,0.01,-0.76,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:47:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:47:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:49:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:49:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:50:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:50:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:51:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:51:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:52:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:52:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:53:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:53:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:54:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:54:00,0.01,-0.76,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:55:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:55:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:56:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:56:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:57:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
